timestamp,x,y,z,vx,vy,vz,ax,ay,az,phi,theta,psi
1542356331.397520290,58.6732,20.3914,-1.09639,1.46536,-0.0293351,0.112714,-0.193532,0.911623,0.163042,0.652589,-4.8363,-83.1799
1542356331.440241716,58.7533,20.4037,-1.09286,1.57808,0.0788624,0.117393,-0.1337,0.949289,-0.0222015,0.629082,-4.82326,-83.2025
1542356331.488305979,58.8352,20.4106,-1.0886,1.60988,0.121293,0.09829,-0.143113,0.780343,-0.311199,0.618119,-4.82865,-83.2175
1542356331.536492945,58.7664,20.4279,-1.08365,1.55969,0.108702,0.0952827,-0.152004,0.710206,-0.22537,0.43283,-4.34307,-83.4276
1542356331.579235048,58.8213,20.4403,-1.06866,1.42561,0.219716,0.202951,-0.24846,0.80412,-0.12962,0.40467,-4.33206,-83.4289
1542356331.627240357,58.8538,20.4506,-1.09703,1.38464,0.248297,0.165645,-0.367872,0.830718,0.0586965,0.6289,-4.42303,-83.4571
1542356331.670145157,58.9138,20.4233,-1.0997,1.39253,-0.108177,0.0533396,-0.287693,1.05969,-0.24585,0.632926,-4.38702,-83.4703
1542356331.718082830,58.9481,20.4486,-1.13272,1.36676,-0.0404113,-0.00421727,-0.287402,1.21115,-0.320606,0.808658,-4.63468,-83.4614
1542356331.766256317,59.0121,20.4099,-1.12078,1.3386,-0.365449,0.107723,-0.444984,1.10502,-0.148945,0.809563,-4.63655,-83.4738
1542356331.808997395,59.0759,20.3718,-1.11696,1.41872,-0.529091,0.0859715,-0.279259,0.954376,0.00982482,0.664056,-4.64358,-83.3506
1542356331.857044782,59.1782,20.3682,-1.10819,1.60873,-0.353743,0.0808372,-0.282919,1.06792,-0.192134,0.654702,-4.61344,-83.3578
1542356331.899846217,59.264,20.36,-1.10358,1.68376,-0.280409,0.071942,-0.378526,1.193,-0.214506,0.683018,-4.55754,-83.3736
1542356331.947923918,59.2681,20.347,-1.08485,1.32282,-0.129974,0.15262,-0.230315,1.20527,-0.155487,0.571352,-4.51544,-83.3444
1542356331.990689304,59.2861,20.3507,-1.06798,1.26098,0.101442,0.217859,-0.317185,1.24869,-0.118345,0.566402,-4.52907,-83.3655
1542356332.038704737,59.2027,20.4871,-1.09631,1.21511,0.180423,0.161158,-0.226197,1.27671,-0.00993504,0.60402,-4.95133,-83.2659
1542356332.086809382,59.2692,20.4946,-1.0831,1.29114,0.196169,0.202868,-0.151895,0.905503,-0.237585,0.630388,-4.98859,-83.2446
