timestamp,x,y,z,vx,vy,vz,phi,theta,psi
1542356270.934119496,0,0,0,0,0.861893,0,0,0,0
1542356270.973570000,0.655329,8.162,-0.238112,0,0,0,-0.268296,-1.52428,-23.5522
1542356271.034104860,0,0,0,0,0.972421,0,0,0,0
1542356271.074109018,0,0,0,0,0.972421,0,0,0,0
1542356271.114115052,0,0,0,0,0.972421,0,0,0,0
1542356271.154108124,0,0,0,0,0.972421,0,0,0,0
1542356271.174115068,0,0,0,0,0.972421,0,0,0,0
1542356271.234106234,0,0,0,0,0.99991,0,0,0,0
1542356271.275953000,0.768274,8.46151,-0.251069,0,0,0,0.398885,-1.54913,-24.452
1542356271.374106152,0,0,0,0,0.99991,0,0,0,0
1542356271.454124560,0,0,0,0,1.01079,0,0,0,0
1542356271.494124371,0,0,0,0,1.01079,0,0,0,0
1542356271.534128025,0,0,0,0,1.01079,0,0,0,0
1542356271.574114114,0,0,0,0,1.01079,0,0,0,0
1542356271.614134019,0,0,0,0,0.979293,0,0,0,0
1542356271.674123394,0,0,0,0,0.979293,0,0,0,0
1542356271.714117017,0,0,0,0,0.979293,0,0,0,0
1542356271.754105750,0,0,0,0,0.979293,0,0,0,0
1542356271.814114953,0,0,0,0,1.03313,0,0,0,0
1542356271.880744000,0.992487,8.98507,-0.255753,0,0,0,-0.469534,-1.40815,-24.699
1542356271.974117529,0,0,0,0,1.03313,0,0,0,0
1542356271.981577000,1.0296,9.0683,-0.259571,0,0,0,-0.375137,-1.23249,-24.7076
1542356272.034126021,0,0,0,0,1.07722,0,0,0,0
1542356272.094113682,0,0,0,0,1.07722,0,0,0,0
1542356272.134125421,0,0,0,0,1.07722,0,0,0,0
1542356272.174117646,0,0,0,0,1.07722,0,0,0,0
1542356272.214125501,0,0,0,0,1.14881,0,0,0,0
1542356272.254123153,0,0,0,0,1.14881,0,0,0,0
1542356272.314107188,0,0,0,0,1.14881,0,0,0,0
1542356272.354107716,0,0,0,0,1.14881,0,0,0,0
1542356272.394129133,0,0,0,0,1.20436,0,0,0,0
1542356272.434124220,0,0,0,0,1.20436,0,0,0,0
1542356272.081072441,0.285749,8.33488,0,0,0,0,0,0,-24.246
1542356272.514131292,0,0,0,0,1.20436,0,0,0,0
1542356272.586345000,1.32148,9.68023,-0.238556,0,0,0,0.461628,-1.59963,-24.6148
1542356272.654109326,0,0,0,0,1.20665,0,0,0,0
1542356272.268356890,0.376547,8.52547,0,0,0,0,0,0,-24.461
1542356272.674110287,0,0,0,0,1.20665,0,0,0,0
1542356272.687172000,1.30653,9.78824,-0.274775,0,0,0,0.805546,-1.69613,-25.3186
1542356272.734118535,0,0,0,0,1.20665,0,0,0,0
1542356272.774120787,0,0,0,0,1.20665,0,0,0,0
1542356272.814109693,0,0,0,0,1.23643,0,0,0,0
1542356272.854120968,0,0,0,0,1.23643,0,0,0,0
1542356272.914113996,0,0,0,0,1.23643,0,0,0,0
1542356272.994105012,0,0,0,0,1.2244,0,0,0,0
1542356273.034117171,0,0,0,0,1.2244,0,0,0,0
1542356273.090373000,1.55851,10.1876,-0.322725,0,0,0,1.47191,-1.03155,-25.8201
1542356273.114127297,0,0,0,0,1.2244,0,0,0,0
1542356273.154119095,0,0,0,0,1.2244,0,0,0,0
1542356273.191162000,1.56593,10.2942,-0.325184,0,0,0,1.4609,-0.892602,-25.928
1542356273.294106746,0,0,0,0,1.27365,0,0,0,0
1542356273.291957000,1.58551,10.3962,-0.337229,0,0,0,1.46802,-0.781082,-26.0254
1542356273.374115697,0,0,0,0,1.27365,0,0,0,0
1542356273.392766000,1.63132,10.499,-0.340218,0,0,0,1.38559,-0.819822,-26.0825
1542356273.414129932,0,0,0,0,1.32119,0,0,0,0
1542356273.454113504,0,0,0,0,1.32119,0,0,0,0
1542356273.554124299,0,0,0,0,1.32119,0,0,0,0
1542356273.594126713,0,0,0,0,1.40022,0,0,0,0
1542356273.614108667,0,0,0,0,1.40022,0,0,0,0
1542356273.674122491,0,0,0,0,1.40022,0,0,0,0
